T[s];NS[cm/s2];EO[cm/s2];V[cm/s2]
0.855;-0.014821362;0.005823959;0.001301513
0.86;-0.014820585;0.007934476;0.004283396
0.865;-0.012859191;0.007960236;0.007457569
0.87;-0.008810185;0.006142989;0.009857722
0.875;-0.003777787;0.004058213;0.010633696
0.88;0.00035201;0.003821967;0.009769865
0.885;0.001831274;0.005883571;0.008021396
0.89;0.000055548;0.008357487;0.005800336
0.895;-0.004107619;0.009158742;0.003212651
0.9;-0.008789114;0.007848081;0.001267658
0.905;-0.012006752;0.005366488;0.001040391
0.91;-0.012973779;0.002868422;0.00196124
0.915;-0.012541916;0.000886797;0.002704008
0.92;-0.011741624;-0.000716513;0.002652296
0.925;-0.010872519;-0.002147095;0.001868118
0.93;-0.010100013;-0.002869331;0.000793791
0.935;-0.009316372;-0.001793526;0.000086745
0.94;-0.008049354;0.001069832;0.000258065
0.945;-0.006545019;0.003902372;0.001216332
0.95;-0.00561096;0.004829311;0.002468998
0.955;-0.005295236;0.003738653;0.003688059
0.96;-0.004839653;0.001881043;0.004277472
0.965;-0.003551816;0.000300351;0.003115019
0.97;-0.001856606;-0.000737827;-0.000222532
0.975;-0.001424874;-0.001178308;-0.004691905
0.98;-0.002763565;-0.000942305;-0.008751341
0.985;-0.00393519;-0.000108017;-0.011514349
0.99;-0.003354494;0.001345234;-0.013041247
0.995;-0.001663011;0.0033302;-0.014132695
1;-0.000032544;0.00491617;-0.015468582
1.005;0.001320558;0.004871339;-0.016505815
1.01;0.002455173;0.003036001;-0.015921145
1.015;0.002687574;0.000269668;-0.013361049
1.02;0.001066932;-0.002710479;-0.009765405
1.025;-0.002337831;-0.005178314;-0.006111931
1.03;-0.006071165;-0.005891176;-0.003186678
1.035;-0.008647253;-0.004523322;-0.002012345
1.04;-0.010169926;-0.002507597;-0.002808851
1.045;-0.011633427;-0.001244731;-0.0039067
1.05;-0.01311786;-0.000506728;-0.003000129
1.055;-0.013427881;0.000836658;0.000495941
1.06;-0.011201972;0.002909236;0.00503701
1.065;-0.006627537;0.004249195;0.008849991
1.07;-0.001472789;0.003407471;0.011430018
1.075;0.002677994;0.000657324;0.013119578
1.08;0.004902778;-0.00196296;0.014082427
1.085;0.004730524;-0.002198122;0.014151656
1.09;0.002815271;0.000711239;0.013293037
1.095;0.000601933;0.005783515;0.011703463
1.1;-0.001047256;0.011017255;0.009842768
1.105;-0.001968143;0.014060044;0.008594757
1.11;-0.001899747;0.013372106;0.008588297
1.115;-0.000591071;0.009548421;0.009059424
1.12;0.001461384;0.004992985;0.00805335
1.125;0.003105074;0.001906296;0.00453872
1.13;0.00353271;0.000900884;0.00003042
1.135;0.00289979;0.001390018;-0.003035133
1.14;0.001617793;0.002322358;-0.004090437
1.145;-0.000807756;0.002493877;-0.004477471
1.15;-0.005117899;0.00127712;-0.005396612
1.155;-0.010025297;-0.000773432;-0.006500759
1.16;-0.012066969;-0.002480279;-0.006340415
1.165;-0.008720233;-0.003049411;-0.00436164
1.17;-0.001196276;-0.002542752;-0.001762136
1.175;0.006117127;-0.001388931;0.000284689
1.18;0.009164081;0.000507019;0.001894644
1.185;0.007321464;0.003538581;0.003319016
1.19;0.00306093;0.007150619;0.003979703
1.195;-0.000632348;0.009315815;0.003245132
1.2;-0.002206641;0.007634474;0.00123925
1.205;-0.00170334;0.001402396;-0.001326102
1.21;0.000414459;-0.007061975;-0.003577008
1.215;0.003848477;-0.013473896;-0.004787725
1.22;0.007767133;-0.014824475;-0.004556944
1.225;0.010476015;-0.011752931;-0.002780266
1.23;0.010158028;-0.007284207;0.000192881
1.235;0.00616692;-0.003801126;0.003121662
1.24;0.000102503;-0.001923098;0.004158934
1.245;-0.004790135;-0.001511965;0.00231564
1.25;-0.006123548;-0.002547109;-0.001330558
1.255;-0.004376739;-0.004806506;-0.00436672
1.26;-0.00174654;-0.007267909;-0.005090436
1.265;0.000781993;-0.008508544;-0.003512276
1.27;0.003800453;-0.007799546;-0.000734103
1.275;0.007368852;-0.005392294;0.002190232
1.28;0.010273383;-0.001965033;0.005145685
1.285;0.01126899;0.001654143;0.008632486
1.29;0.01010173;0.004271492;0.012198293
1.295;0.007288619;0.004652842;0.01402035
1.3;0.003905577;0.002785348;0.013157022
1.305;0.001679937;-0.000140572;0.01138947
1.31;0.001830229;-0.003239587;0.011122025
1.315;0.003965158;-0.005969194;0.011871412
1.32;0.006784187;-0.00740689;0.010389442
1.325;0.008682469;-0.006864175;0.004682432
1.33;0.008162348;-0.004573021;-0.002929621
1.335;0.005251088;-0.001455603;-0.008097186
1.34;0.00157304;0.001389672;-0.009166307
1.345;-0.001388002;0.003022393;-0.007766976
1.35;-0.003148796;0.003127414;-0.005690976
1.355;-0.003891048;0.002579252;-0.003165753
1.36;-0.003605243;0.002729043;0.000239606
1.365;-0.001608859;0.003741449;0.00435553
1.37;0.002226092;0.004392781;0.008378316
1.375;0.006188818;0.003538443;0.011409254
1.38;0.007871939;0.00136206;0.012691888
1.385;0.006614365;-0.0007107;0.011775784
1.39;0.004306662;-0.001448712;0.00917626
1.395;0.003514919;-0.000876991;0.006883464
1.4;0.004973817;0.000353371;0.007025061
1.405;0.007277618;0.001393692;0.009962526
1.41;0.008594906;0.001390003;0.014088419
1.415;0.008231573;0.000581294;0.016598308
1.42;0.006943196;-0.00023211;0.015307324
1.425;0.005937854;-0.001221109;0.011082647
1.43;0.005810431;-0.002636843;0.006989323
1.435;0.006403658;-0.00350336;0.004374653
1.44;0.006880105;-0.002717569;0.002036406
1.445;0.006392887;-0.000652678;-0.000490003
1.45;0.005076873;0.001366979;-0.001704592
1.455;0.003625124;0.002538066;-0.000681637
1.46;0.002765022;0.002661095;0.001615607
1.465;0.003287119;0.001767762;0.003504352
1.47;0.005167931;0.000454111;0.003494724
1.475;0.007401229;-0.000152606;0.001093721
1.48;0.009082635;0.000466308;-0.002360751
1.485;0.009789789;0.001291654;-0.004866142
1.49;0.009666236;0.000946267;-0.005988813
1.495;0.009511236;-0.00045393;-0.006820607
1.5;0.010032261;-0.001641819;-0.007967781
1.505;0.010790416;-0.001599758;-0.009052642
1.51;0.010366136;0.000109565;-0.009850432
1.515;0.008116019;0.003012405;-0.010072884
1.52;0.005045051;0.005307694;-0.008459442
1.525;0.002657921;0.005132467;-0.00415542
1.53;0.001947105;0.002175053;0.001418691
1.535;0.002991785;-0.002076207;0.005928887
1.54;0.004390793;-0.004831077;0.008685581
1.545;0.003767174;-0.003739956;0.010290964
1.55;0.000075124;0.000738517;0.010783421
1.555;-0.004870627;0.00546813;0.009833162
1.56;-0.007784603;0.007309213;0.008127267
1.565;-0.006537098;0.005417947;0.006822811
1.57;-0.001710564;0.001686277;0.005897914
1.575;0.003794888;-0.00081556;0.004734021
1.58;0.006729547;-0.000231837;0.003636755
1.585;0.005478806;0.003013971;0.003029209
1.59;0.000947414;0.006879658;0.002362985
1.595;-0.004199062;0.009158835;0.001218196
1.6;-0.007652026;0.008749054;0.000194547
1.605;-0.008966708;0.00571039;0.00005558
1.61;-0.009157451;0.000982681;0.000897021
1.615;-0.009462942;-0.003259731;0.002170262
1.62;-0.010616758;-0.004506028;0.003148997
1.625;-0.012355177;-0.002324347;0.003669065
1.63;-0.013129045;0.001019079;0.004442035
1.635;-0.011252741;0.002850429;0.006233883
1.64;-0.00690532;0.002329082;0.008546581
1.645;-0.002494385;0.000456858;0.009622623
1.65;-0.000777711;-0.000972758;0.008324047
1.655;-0.002742222;-0.000587681;0.005512122
1.66;-0.007026701;0.001284469;0.003044213
1.665;-0.010786957;0.003051706;0.001900532
