T[s];NS[cm/s2];EO[cm/s2];V[cm/s2]
0.875;-0.000368029;0.000381455;0.000776297
0.88;-0.000641667;0.000953893;0.001085827
0.885;-0.000196966;0.001824882;0.001123888
0.89;0.000869773;0.002642211;0.001191184
0.895;0.002470514;0.00325598;0.001711141
0.9;0.003948317;0.003704074;0.002770568
0.905;0.004434443;0.003748631;0.003808922
0.91;0.003779266;0.002935238;0.00390625
0.915;0.002276793;0.001324771;0.002581404
0.92;0.000455787;-0.000399575;0.000337031
0.925;-0.000953797;-0.001490282;-0.001714297
0.93;-0.001500629;-0.001723794;-0.002856197
0.935;-0.001268447;-0.001592133;-0.003177655
0.94;-0.000728518;-0.001605355;-0.002984544
0.945;-0.000189007;-0.001630207;-0.002338491
0.95;0.00025069;-0.001314641;-0.001209342
0.955;0.000223717;-0.000737836;0.000230042
0.96;-0.000161404;-0.000217817;0.001483348
0.965;-0.000042481;0.000276377;0.001966813
0.97;0.000685797;0.000909704;0.001417895
0.975;0.001144981;0.001350125;0.000211836
0.98;0.0007472;0.001155864;-0.000711494
0.985;-0.00022708;0.00045646;-0.00065492
0.99;-0.000930317;-0.000328035;0.000125044
0.995;-0.000921702;-0.000953146;0.000788869
1;-0.000450664;-0.001336425;0.000764038
1.005;0.000359008;-0.001387506;0.000189311
1.01;0.001337893;-0.001078535;-0.000327689
1.015;0.001802241;-0.000767664;-0.000432064
1.02;0.001249874;-0.000937302;-0.000274048
1.025;-0.000130327;-0.001529973;-0.000031042
1.03;-0.001543307;-0.002129538;0.000393579
1.035;-0.002142166;-0.002400336;0.001168524
1.04;-0.001806405;-0.002013356;0.002181606
1.045;-0.000760756;-0.000831515;0.002933705
1.05;0.000779306;0.000807025;0.002957633
1.055;0.002155547;0.002316409;0.002297085
1.06;0.002902632;0.003203816;0.001451445
1.065;0.003101598;0.00336377;0.000960163
1.07;0.002584069;0.003067795;0.000978073
1.075;0.001329872;0.002429725;0.001095944
1.08;-0.000094441;0.001330728;0.000703519
1.085;-0.001177537;-0.000018539;-0.000343116
1.09;-0.001607314;-0.001091973;-0.001543351
1.095;-0.001530077;-0.001606191;-0.002264498
1.1;-0.00158209;-0.001605438;-0.002219868
1.105;-0.001835309;-0.001128996;-0.001539318
1.11;-0.001899803;-0.000200382;-0.000730579
1.115;-0.00183579;0.000792409;-0.000448728
1.12;-0.001895566;0.001134365;-0.000918523
1.125;-0.002114902;0.00061391;-0.001611799
1.13;-0.002101982;-0.000118413;-0.001797563
1.135;-0.001212161;-0.000394107;-0.001401388
1.14;0.000352849;-0.000077307;-0.000947305
1.145;0.001648129;0.000701594;-0.000703943
1.15;0.002182091;0.001570991;-0.000367138
1.155;0.001670623;0.001967246;0.000383715
1.16;0.000000905;0.001557092;0.0013343
1.165;-0.00180045;0.000455606;0.00187253
1.17;-0.002461229;-0.000812517;0.001540372
