T[s];NS[cm/s2];EO[cm/s2];V[cm/s2]
1.28;0.003241127;-0.007635232;-0.003072996
1.285;0.003208228;-0.008976521;-0.002123739
1.29;0.002873873;-0.007059823;-0.0013649
1.295;0.003198207;-0.003269391;-0.00073836
1.3;0.003965036;0.000722641;-0.000325534
1.305;0.0036023;0.00381191;-0.000470807
1.31;0.000873014;0.005403582;-0.001065911
1.315;-0.003355613;0.00544069;-0.001170137
1.32;-0.006488431;0.004070947;0.000067398
1.325;-0.006631426;0.001563162;0.002315423
1.33;-0.003987811;-0.001425961;0.00377899
1.335;-0.000165163;-0.004038739;0.002826702
1.34;0.002806628;-0.005189878;0.000263986
1.345;0.003163162;-0.004058886;-0.001505196
1.35;0.000526958;-0.001682215;-0.001410493
1.355;-0.003495018;0.000146159;-0.000191056
1.36;-0.006760224;0.001857577;0.001473657
1.365;-0.008428393;0.004856018;0.003529554
1.37;-0.008529092;0.008297374;0.005672929
1.375;-0.006818585;0.010051658;0.007169648
1.38;-0.003198816;0.009420481;0.007072209
1.385;0.001786569;0.00698031;0.004680727
1.39;0.007187101;0.003589196;0.000573594
1.395;0.011679684;0.000769067;-0.003748868
1.4;0.013877319;-0.000091772;-0.007285934
1.405;0.013221109;0.000580134;-0.00900915
1.41;0.010533607;0.001336515;-0.007456926
1.415;0.007383832;0.00138397;-0.00310179
1.42;0.004652425;0.000553352;0.000956305
1.425;0.002075297;-0.000804153;0.001868311
1.43;-0.000882143;-0.001677639;-0.000703827
1.435;-0.004287341;-0.001047774;-0.004423835
1.44;-0.007594892;0.00133062;-0.005946059
1.445;-0.010063672;0.004339239;-0.00370102
1.45;-0.011354666;0.006319236;0.000644552
1.455;-0.011257124;0.006912867;0.003327909
1.46;-0.009222405;0.006728159;0.00202553
1.465;-0.00478297;0.005874857;-0.001453897
1.47;0.001633109;0.004184398;-0.003192871
1.475;0.008358049;0.002056568;-0.001290385
1.48;0.01339522;0.000273355;0.002793852
1.485;0.015757685;-0.000799817;0.005996151
1.49;0.015546417;-0.001437712;0.006174832
1.495;0.013112538;-0.002176648;0.003281855
1.5;0.008582421;-0.003488422;-0.001201998
1.505;0.002657103;-0.005575784;-0.005185076
1.51;-0.002604385;-0.008058401;-0.006834933
1.515;-0.00556645;-0.009649076;-0.005885054
1.52;-0.006676231;-0.008871214;-0.004019153
1.525;-0.006869206;-0.005702406;-0.003199963
1.53;-0.006409639;-0.001520755;-0.003984595
1.535;-0.005824575;0.002467712;-0.005615957
1.54;-0.005853628;0.005455965;-0.006829505
1.545;-0.006518022;0.006957062;-0.00646287
1.55;-0.007016538;0.007346166;-0.003911462
1.555;-0.006581732;0.00664918;0.000588339
1.56;-0.005470532;0.003342055;0.005526217
1.565;-0.004333482;-0.003221251;0.008461566
1.57;-0.003039877;-0.010664431;0.007885748
1.575;-0.001561937;-0.016118645;0.004432149
1.58;-0.001065371;-0.018532255;0.000115856
1.585;-0.002675379;-0.017789115;-0.003255653
1.59;-0.005435327;-0.014740204;-0.00504073
1.595;-0.006791496;-0.011627537;-0.005409124
